,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Temp
0,morehead,37.27,-87.18,89.6,59,1,4.7,US,08/10/20,88.77
1,busselton,-33.65,115.33,55.99,78,98,19.86,AU,08/10/20,54.03
2,ponta do sol,32.67,-17.1,77.0,65,40,14.99,PT,08/10/20,72.68
3,kailua,21.4,-157.74,77.0,69,40,10.29,US,08/10/20,75.83
4,lebu,-37.62,-73.65,48.88,60,28,16.37,CL,08/10/20,48.88
5,hermanus,-34.42,19.23,57.0,79,5,13.8,ZA,08/10/20,57.0
6,mataura,-46.19,168.86,46.99,91,83,8.99,NZ,08/10/20,46.99
7,sinazongwe,-17.26,27.46,73.18,37,0,3.09,ZM,08/10/20,73.18
8,andenes,69.31,16.12,57.2,71,40,5.82,NO,08/10/20,57.2
9,punta arenas,-53.15,-70.92,32.0,74,40,20.8,CL,08/10/20,32.0
10,tezu,27.92,96.17,76.57,86,100,2.64,IN,08/10/20,76.57
11,eregli,37.51,34.05,78.62,35,94,3.94,TR,08/10/20,78.62
12,wairoa,-39.03,177.37,42.01,82,84,4.0,NZ,08/10/20,42.01
13,albany,42.6,-73.97,88.0,61,3,2.24,US,08/10/20,85.8
14,hilo,19.73,-155.09,71.6,78,90,4.7,US,08/10/20,66.87
15,arraial do cabo,-22.97,-42.03,82.4,48,0,16.11,BR,08/10/20,82.4
16,puerto ayora,-0.74,-90.35,73.4,73,40,16.11,EC,08/10/20,69.96
17,rikitea,-23.12,-134.97,69.84,74,47,19.33,PF,08/10/20,69.84
18,ushuaia,-54.8,-68.3,33.8,74,75,3.36,AR,08/10/20,33.8
19,avarua,-21.21,-159.78,69.8,77,0,4.7,CK,08/10/20,69.8
20,longyearbyen,78.22,15.64,48.2,81,75,10.29,SJ,08/10/20,48.2
21,nagato,34.38,131.2,84.2,94,75,6.93,JP,08/10/20,77.56
22,murgab,37.5,61.97,91.4,31,0,4.7,TM,08/10/20,91.4
23,atuona,-9.8,-139.03,78.85,68,4,20.45,PF,08/10/20,78.85
24,fortuna,40.6,-124.16,60.01,85,0,1.99,US,08/10/20,59.68
25,sinnamary,5.38,-52.95,83.21,79,10,11.18,GF,08/10/20,83.21
26,khatanga,71.97,102.5,42.17,74,32,6.33,RU,08/10/20,42.17
27,saint-augustin,51.23,-58.65,72.39,63,13,14.43,CA,08/10/20,72.39
28,barrow,71.29,-156.79,39.2,93,90,9.17,US,08/10/20,39.2
29,westport,41.14,-73.36,91.0,66,1,8.05,US,08/10/20,86.29
30,changli,39.7,119.15,72.45,87,0,0.96,CN,08/10/20,72.45
31,chokurdakh,70.63,147.92,38.82,74,100,6.24,RU,08/10/20,38.82
32,coihaique,-45.58,-72.07,41.0,48,40,4.7,CL,08/10/20,41.0
33,minggang,32.46,114.05,77.95,93,18,2.86,CN,08/10/20,77.95
34,pisco,-13.7,-76.22,62.01,87,90,5.82,PE,08/10/20,61.34
35,nikolskoye,59.7,30.79,68.0,45,40,15.66,RU,08/10/20,65.25
36,provideniya,64.38,-173.3,49.51,92,97,6.4,RU,08/10/20,49.51
37,kapaa,22.08,-159.32,78.8,69,1,19.46,US,08/10/20,73.72
38,saint george,37.1,-113.58,87.01,14,1,5.82,US,08/10/20,84.27
39,thompson,55.74,-97.86,59.0,93,75,10.29,CA,08/10/20,59.0
40,mayo,38.89,-76.51,91.0,83,1,8.05,US,08/10/20,87.17
41,asau,46.43,26.4,66.99,82,98,2.77,RO,08/10/20,66.99
42,yellowknife,62.46,-114.35,64.4,77,75,11.41,CA,08/10/20,63.43
43,oulainen,64.27,24.8,59.0,71,21,3.0,FI,08/10/20,59.0
44,lata,40.16,-8.33,75.99,69,84,4.0,PT,08/10/20,73.31
